MOPSO — PARETO FRONT (IDUN)
Archive size : 40 non-dominated solutions
Knee point   : α=0.851
  Unexpectedness : 0.9984
  Relevance      : 2.8903
  Serendipity    : 0.6333

 alpha  unexpectedness  relevance  serendipity  crowding_distance  is_knee
0.0000          0.9555     3.0819       0.6669                inf    False
0.0000          0.9555     3.0819       0.6669             0.0540    False
0.0575          0.9579     3.0815       0.6675             0.1088    False
0.1110          0.9603     3.0805       0.6678             0.1089    False
0.1605          0.9627     3.0793       0.6679             0.1085    False
0.2062          0.9651     3.0771       0.6679             0.1078    False
0.2485          0.9673     3.0744       0.6679             0.1060    False
0.2882          0.9696     3.0711       0.6676             0.1056    False
0.3272          0.9718     3.0671       0.6671             0.1060    False
0.3653          0.9741     3.0624       0.6665             0.1049    False
0.4013          0.9762     3.0571       0.6657             0.1044    False
0.4361          0.9784     3.0508       0.6647             0.1057    False
0.4708          0.9805     3.0437       0.6634             0.1039    False
0.5049          0.9825     3.0359       0.6621             0.1019    False
0.5403          0.9846     3.0269       0.6604             0.1018    False
0.5756          0.9865     3.0169       0.6585             0.1021    False
0.6125          0.9885     3.0055       0.6563             0.0996    False
0.6483          0.9903     2.9935       0.6539             0.0964    False
0.6857          0.9920     2.9798       0.6512             0.0973    False
0.7248          0.9937     2.9635       0.6480             0.1008    False
0.7666          0.9954     2.9441       0.6441             0.1049    False
0.8083          0.9972     2.9241       0.6401             0.1033    False
0.8505          0.9984     2.8903       0.6333             0.1064     True
0.8757          0.9989     2.8189       0.6140             0.1132    False
0.8904          0.9991     2.7402       0.5912             0.1132    False
0.9022          0.9992     2.6604       0.5677             0.1166    False
0.9130          0.9994     2.5738       0.5420             0.1218    False
0.9230          0.9995     2.4846       0.5154             0.1222    False
0.9321          0.9996     2.3960       0.4889             0.1180    False
0.9402          0.9997     2.3118       0.4637             0.1147    False
0.9479          0.9998     2.2271       0.4383             0.1120    False
0.9549          0.9998     2.1462       0.4140             0.1125    False
0.9621          0.9999     2.0601       0.3882             0.1137    False
0.9688          0.9999     1.9768       0.3632             0.1082    False
0.9750          0.9999     1.8983       0.3396             0.1080    False
0.9814          1.0000     1.8149       0.3146             0.1120    False
0.9878          1.0000     1.7299       0.2891             0.1113    False
0.9940          1.0000     1.6470       0.2642             0.1092    False
1.0000          1.0000     1.5647       0.2396             0.0544    False
1.0000          1.0000     1.5647       0.2396                inf    False
