alpha,serendipity,avg_distance,avg_cf_score,diversity_ild,n_users
0.0,0.38127451869395373,0.3440022800055146,3.081874199914932,0.8266374814814813,5000
0.15,0.45396296601168695,0.5068030179204046,3.02342604624033,0.8082396296296296,5000
0.25,0.48490654355075946,0.6180899169436097,2.9132007787203786,0.7290833333333334,5000
0.3,0.4911762161299614,0.6600762466472387,2.8496791000247,0.6815174074074074,5000
0.35,0.49438373296776306,0.697510790746212,2.7774744083714484,0.634751111111111,5000
0.4,0.486395069248662,0.7632107721585035,2.616409635868073,0.5830584444444444,5000
0.5,0.38366356066882334,0.9245372158241273,2.1019059150862693,0.6821638518518519,5000
0.65,0.30290729064475147,0.9899276874494551,1.7757091609454154,0.7667687407407408,5000
0.75,0.28570576012838494,0.9971847329580783,1.7109834882855415,0.7805173333333334,5000
0.85,0.2775857145173707,0.9989341661691665,1.6835450958251954,0.7845876296296297,5000
1.0,0.2412764088475579,1.0,1.5643695564985276,0.7903077777777778,5000
