EXPERIMENT 2 — MULTI-OBJECTIVE WEIGHTED SCALARIZATION (IDUN)
Users: 5,000  |  Alpha values: [0.0, 0.15, 0.25, 0.3, 0.35, 0.4, 0.5, 0.65, 0.75, 0.85, 1.0]
Serendipity metric: harmonic mean of U=distance and R=(cf_score-1)/4

 alpha  serendipity  avg_distance  avg_cf_score  diversity_ild  n_users
0.0000       0.3813        0.3440        3.0819         0.8266     5000
0.1500       0.4540        0.5068        3.0234         0.8082     5000
0.2500       0.4849        0.6181        2.9132         0.7291     5000
0.3000       0.4912        0.6601        2.8497         0.6815     5000
0.3500       0.4944        0.6975        2.7775         0.6348     5000
0.4000       0.4864        0.7632        2.6164         0.5831     5000
0.5000       0.3837        0.9245        2.1019         0.6822     5000
0.6500       0.3029        0.9899        1.7757         0.7668     5000
0.7500       0.2857        0.9972        1.7110         0.7805     5000
0.8500       0.2776        0.9989        1.6835         0.7846     5000
1.0000       0.2413        1.0000        1.5644         0.7903     5000

Best serendipity: α=0.35 → 0.4944
