PERSONALIZED MOPSO v2 — WARM-START (IDUN)
Particles: 100  |  Iterations: 500  |  Users: 500  |  Archive: 80
Init: N(0.35, 0.15²)

Archive size     : 29 non-dominated solutions
Serendipity range: [0.4238, 0.4614]
Relevance range  : [2.6900, 2.9667]
Mean std(α)      : 0.1502
Global optimum (Exp 2): seren=0.4944 at α=0.35
Dominates single-α solutions: 17/40

 mean_serendipity  mean_relevance  mean_alpha  std_alpha
           0.4238          2.9667      0.1225     0.1540
           0.4294          2.9556      0.1363     0.1516
           0.4307          2.9503      0.1426     0.1569
           0.4315          2.9471      0.1472     0.1605
           0.4324          2.9467      0.1462     0.1534
           0.4332          2.9441      0.1499     0.1577
           0.4338          2.9433      0.1529     0.1525
           0.4346          2.9373      0.1557     0.1538
           0.4358          2.9369      0.1557     0.1537
           0.4359          2.9362      0.1597     0.1563
           0.4371          2.9359      0.1573     0.1481
           0.4376          2.9337      0.1621     0.1483
           0.4382          2.9311      0.1641     0.1505
           0.4405          2.9299      0.1692     0.1476
           0.4409          2.9256      0.1715     0.1565
           0.4425          2.9227      0.1755     0.1507
           0.4430          2.9102      0.1861     0.1537
           0.4433          2.9072      0.1883     0.1542
           0.4439          2.9044      0.1866     0.1486
           0.4443          2.9019      0.1875     0.1532
           0.4494          2.8976      0.2006     0.1481
           0.4565          2.8794      0.2203     0.1399
           0.4572          2.8222      0.2561     0.1508
           0.4576          2.7874      0.2729     0.1513
           0.4580          2.7793      0.2786     0.1503
           0.4587          2.7587      0.2876     0.1392
           0.4596          2.7278      0.3090     0.1410
           0.4613          2.7241      0.3130     0.1420
           0.4614          2.6900      0.3294     0.1310
