MOPSO — PARETO FRONT (IDUN)
Archive size : 40 non-dominated solutions
Knee point   : α=0.363
  Unexpectedness : 0.7120
  Relevance      : 2.7454
  Serendipity    : 0.4937

 alpha  unexpectedness  relevance  serendipity  crowding_distance  is_knee
0.0000          0.3440     3.0819       0.3813                inf    False
0.0348          0.3813     3.0776       0.4010             0.1182    False
0.0662          0.4153     3.0675       0.4174             0.1176    False
0.0964          0.4481     3.0537       0.4318             0.1164    False
0.1247          0.4791     3.0382       0.4440             0.1128    False
0.1516          0.5086     3.0224       0.4546             0.1113    False
0.1761          0.5365     3.0023       0.4636             0.1092    False
0.1974          0.5614     2.9789       0.4711             0.1067    False
0.2183          0.5852     2.9530       0.4776             0.1004    False
0.2373          0.6056     2.9287       0.4824             0.0949    False
0.2585          0.6259     2.9030       0.4863             0.0956    False
0.2811          0.6450     2.8747       0.4893             0.0939    False
0.3032          0.6626     2.8454       0.4915             0.0930    False
0.3278          0.6797     2.8139       0.4935             0.0942    False
0.3486          0.6962     2.7802       0.4944             0.0943    False
0.3632          0.7120     2.7454       0.4937             0.0957     True
0.3752          0.7277     2.7078       0.4919             0.0970    False
0.3860          0.7429     2.6697       0.4898             0.0990    False
0.3968          0.7585     2.6289       0.4872             0.1005    False
0.4068          0.7735     2.5881       0.4838             0.1010    False
0.4158          0.7886     2.5452       0.4781             0.1022    False
0.4240          0.8033     2.5020       0.4711             0.1002    False
0.4315          0.8174     2.4598       0.4634             0.0938    False
0.4381          0.8300     2.4213       0.4558             0.0904    False
0.4448          0.8429     2.3815       0.4476             0.0920    False
0.4515          0.8557     2.3411       0.4389             0.0917    False
0.4583          0.8682     2.3009       0.4300             0.0905    False
0.4653          0.8804     2.2610       0.4209             0.0972    False
0.4739          0.8944     2.2139       0.4100             0.1055    False
0.4838          0.9083     2.1652       0.3985             0.1082    False
0.4966          0.9219     2.1133       0.3863             0.1112    False
0.5145          0.9346     2.0573       0.3733             0.1135    False
0.5345          0.9472     1.9997       0.3596             0.1129    False
0.5560          0.9592     1.9430       0.3457             0.1106    False
0.5803          0.9707     1.8863       0.3315             0.1097    False
0.6104          0.9816     1.8284       0.3167             0.1068    False
0.6559          0.9906     1.7702       0.3015             0.1026    False
0.7552          0.9973     1.7091       0.2852             0.1012    False
0.9246          0.9996     1.6376       0.2637             0.0994    False
1.0000          1.0000     1.5644       0.2413                inf    False
