EXPERIMENT 2 — MULTI-OBJECTIVE WEIGHTED SCALARIZATION (IDUN)
Users: 1,257  |  Alpha values: [0.0, 0.15, 0.25, 0.3, 0.35, 0.4, 0.5, 0.65, 0.75, 0.85, 1.0]
Serendipity metric: harmonic mean of U=distance and R=(cf_score-1)/4

 alpha  serendipity  avg_distance  avg_cf_score  diversity_ild  n_users
0.0000       0.3387        0.2188        4.6268         0.8096     1257
0.1500       0.4302        0.3021        4.5977         0.8081     1257
0.2500       0.6184        0.5896        4.2664         0.7695     1257
0.3000       0.7395        0.8549        3.8718         0.7119     1257
0.3500       0.7699        0.9485        3.6951         0.6754     1257
0.4000       0.7762        0.9799        3.6213         0.6637     1257
0.5000       0.7767        0.9966        3.5698         0.6458     1257
0.6500       0.7757        0.9997        3.5551         0.6616     1257
0.7500       0.7754        0.9999        3.5528         0.6631     1257
0.8500       0.7752        1.0000        3.5518         0.6583     1257
1.0000       0.7743        1.0000        3.5467         0.6499     1257

Best serendipity: α=0.50 → 0.7767
