PERSONALIZED MOPSO — 500D (IDUN)
Archive size : 40 non-dominated solutions
Serendipity range : [0.5288, 0.7144]
Relevance range   : [3.7677,   4.2101]
Mean std(α) across front : 0.3392

 mean_serendipity  mean_relevance  mean_alpha  std_alpha
           0.5288          4.2101      0.3522     0.4328
           0.5361          4.2081      0.3546     0.4174
           0.5423          4.1911      0.3537     0.4122
           0.5514          4.1805      0.3550     0.4018
           0.5562          4.1690      0.3496     0.3831
           0.5663          4.1631      0.3680     0.3847
           0.5669          4.1481      0.3688     0.3967
           0.5734          4.1358      0.3766     0.3849
           0.5822          4.1339      0.3745     0.3665
           0.5838          4.1178      0.3745     0.3701
           0.5895          4.1053      0.3792     0.3662
           0.5951          4.1020      0.3945     0.3725
           0.6002          4.0944      0.3740     0.3450
           0.6035          4.0800      0.4041     0.3721
           0.6099          4.0717      0.3931     0.3416
           0.6159          4.0609      0.3961     0.3431
           0.6196          4.0443      0.4031     0.3366
           0.6250          4.0319      0.4181     0.3438
           0.6305          4.0253      0.4258     0.3383
           0.6348          4.0140      0.4296     0.3351
           0.6385          4.0024      0.4231     0.3235
           0.6435          3.9919      0.4215     0.3229
           0.6466          3.9835      0.4306     0.3349
           0.6492          3.9700      0.4559     0.3412
           0.6547          3.9571      0.4430     0.3265
           0.6586          3.9492      0.4539     0.3188
           0.6646          3.9404      0.4518     0.3245
           0.6696          3.9299      0.4548     0.3071
           0.6724          3.9103      0.4638     0.3046
           0.6779          3.9005      0.4941     0.3271
           0.6794          3.8837      0.4761     0.3004
           0.6833          3.8706      0.4858     0.3012
           0.6868          3.8523      0.4923     0.3025
           0.6932          3.8514      0.5030     0.2975
           0.6974          3.8340      0.4869     0.2817
           0.7008          3.8215      0.5147     0.2931
           0.7020          3.8051      0.5142     0.2949
           0.7075          3.7918      0.5254     0.2906
           0.7119          3.7786      0.5290     0.2692
           0.7144          3.7677      0.5057     0.2599
