MOPSO — PARETO FRONT (IDUN)
Archive size : 40 non-dominated solutions
Knee point   : α=0.257
  Unexpectedness : 0.6207
  Relevance      : 4.2250
  Serendipity    : 0.6348

 alpha  unexpectedness  relevance  serendipity  crowding_distance  is_knee
0.0000          0.2188     4.6268       0.3387                inf    False
0.0000          0.2188     4.6268       0.3387             0.0541    False
0.0921          0.2532     4.6159       0.3790             0.1083    False
0.1337          0.2867     4.6037       0.4149             0.1082    False
0.1617          0.3172     4.5875       0.4435             0.1069    False
0.1746          0.3417     4.5643       0.4623             0.1059    False
0.1844          0.3651     4.5394       0.4791             0.1062    False
0.1927          0.3880     4.5136       0.4948             0.1078    False
0.2004          0.4112     4.4867       0.5103             0.1103    False
0.2077          0.4346     4.4588       0.5255             0.1138    False
0.2148          0.4588     4.4296       0.5408             0.1164    False
0.2217          0.4830     4.3999       0.5559             0.1173    False
0.2283          0.5072     4.3699       0.5706             0.1166    False
0.2347          0.5309     4.3403       0.5847             0.1138    False
0.2407          0.5539     4.3115       0.5981             0.1110    False
0.2466          0.5763     4.2832       0.6109             0.1091    False
0.2521          0.5983     4.2551       0.6231             0.1107    False
0.2569          0.6207     4.2250       0.6348             0.1135     True
0.2610          0.6429     4.1941       0.6459             0.1166    False
0.2649          0.6659     4.1615       0.6570             0.1172    False
0.2685          0.6879     4.1297       0.6673             0.1157    False
0.2720          0.7099     4.0974       0.6776             0.1131    False
0.2752          0.7306     4.0667       0.6870             0.1062    False
0.2783          0.7499     4.0379       0.6957             0.1028    False
0.2815          0.7690     4.0088       0.7041             0.0999    False
0.2846          0.7870     3.9813       0.7119             0.1025    False
0.2882          0.8068     3.9504       0.7204             0.1044    False
0.2920          0.8252     3.9213       0.7280             0.0993    False
0.2962          0.8427     3.8927       0.7350             0.0973    False
0.3017          0.8595     3.8637       0.7411             0.0986    False
0.3083          0.8766     3.8332       0.7471             0.0991    False
0.3153          0.8931     3.8032       0.7528             0.1010    False
0.3236          0.9105     3.7710       0.7586             0.1049    False
0.3335          0.9278     3.7378       0.7641             0.1072    False
0.3465          0.9450     3.7028       0.7690             0.1085    False
0.3648          0.9612     3.6668       0.7727             0.1077    False
0.3905          0.9766     3.6302       0.7758             0.1067    False
0.4430          0.9901     3.5915       0.7765             0.1073    False
1.0000          1.0000     3.5467       0.7743             0.0542    False
1.0000          1.0000     3.5467       0.7743                inf    False
