track_id,styles,category_styles
1,Animation|Children's|Comedy,Animation|Children's|Comedy
2,Adventure|Children's|Fantasy,Adventure|Children's|Fantasy
3,Comedy|Romance,Comedy|Romance
4,Comedy|Drama,Comedy|Drama
5,Comedy,Comedy
6,Action|Crime|Thriller,Action|Crime|Thriller
7,Comedy|Romance,Comedy|Romance
8,Adventure|Children's,Adventure|Children's
9,Action,Action
10,Action|Adventure|Thriller,Action|Adventure|Thriller
11,Comedy|Drama|Romance,Comedy|Drama|Romance
12,Comedy|Horror,Comedy|Horror
13,Animation|Children's,Animation|Children's
14,Drama,Drama
15,Action|Adventure|Romance,Action|Adventure|Romance
16,Drama|Thriller,Drama|Thriller
17,Drama|Romance,Drama|Romance
18,Thriller,Thriller
19,Comedy,Comedy
20,Action,Action
21,Action|Comedy|Drama,Action|Comedy|Drama
22,Crime|Drama|Thriller,Crime|Drama|Thriller
23,Thriller,Thriller
24,Drama|Sci-Fi,Drama|Sci-Fi
25,Drama|Romance,Drama|Romance
26,Drama,Drama
27,Drama,Drama
28,Romance,Romance
29,Adventure|Sci-Fi,Adventure|Sci-Fi
30,Drama,Drama
31,Drama,Drama
32,Drama|Sci-Fi,Drama|Sci-Fi
33,Adventure|Romance,Adventure|Romance
34,Children's|Comedy|Drama,Children's|Comedy|Drama
35,Drama|Romance,Drama|Romance
36,Drama,Drama
37,Documentary,Documentary
38,Comedy,Comedy
39,Comedy|Romance,Comedy|Romance
40,Drama,Drama
41,Drama|War,Drama|War
42,Action|Crime|Drama,Action|Crime|Drama
43,Drama,Drama
44,Action|Adventure,Action|Adventure
45,Comedy|Drama,Comedy|Drama
46,Drama|Romance,Drama|Romance
47,Crime|Thriller,Crime|Thriller
48,Animation|Children's|Musical|Romance,Animation|Children's|Musical|Romance
49,Drama|Romance,Drama|Romance
50,Crime|Thriller,Crime|Thriller
51,Action|Drama|Thriller,Action|Drama|Thriller
52,Comedy,Comedy
53,Drama,Drama
54,Children's|Comedy,Children's|Comedy
55,Drama,Drama
56,Adventure|Children's|Fantasy,Adventure|Children's|Fantasy
57,Drama,Drama
58,Drama|Romance,Drama|Romance
59,Drama|Mystery,Drama|Mystery
60,Adventure|Children's|Fantasy,Adventure|Children's|Fantasy
61,Drama|Thriller,Drama|Thriller
62,Drama,Drama
63,Comedy,Comedy
64,Comedy|Romance,Comedy|Romance
65,Comedy,Comedy
66,Sci-Fi|Thriller,Sci-Fi|Thriller
67,Drama,Drama
68,Comedy|Romance,Comedy|Romance
69,Comedy,Comedy
70,Action|Comedy|Crime|Horror|Thriller,Action|Comedy|Crime|Horror|Thriller
71,Action,Action
72,Comedy|Drama,Comedy|Drama
73,Drama|Musical,Drama|Musical
74,Drama|Romance,Drama|Romance
75,Comedy|Drama,Comedy|Drama
76,Sci-Fi|Thriller,Sci-Fi|Thriller
77,Documentary,Documentary
78,Drama,Drama
79,Drama|Thriller,Drama|Thriller
80,Drama,Drama
81,Crime|Drama|Romance,Crime|Drama|Romance
82,Drama,Drama
83,Drama,Drama
84,Comedy|Drama,Comedy|Drama
85,Drama|Romance,Drama|Romance
86,Adventure|Drama,Adventure|Drama
87,Children's|Comedy,Children's|Comedy
88,Comedy,Comedy
89,Action|Thriller,Action|Thriller
90,Drama,Drama
92,Drama|Thriller,Drama|Thriller
93,Comedy|Romance,Comedy|Romance
94,Drama,Drama
95,Action|Thriller,Action|Thriller
96,Comedy,Comedy
97,Drama,Drama
98,Action|Thriller,Action|Thriller
99,Documentary,Documentary
100,Drama|Thriller,Drama|Thriller
101,Comedy,Comedy
102,Comedy,Comedy
103,Thriller,Thriller
104,Comedy,Comedy
105,Drama|Romance,Drama|Romance
106,Comedy|Drama,Comedy|Drama
107,Adventure|Children's|Comedy|Musical,Adventure|Children's|Comedy|Musical
108,Documentary,Documentary
109,Comedy,Comedy
110,Action|Drama|War,Action|Drama|War
111,Drama|Thriller,Drama|Thriller
112,Action|Adventure|Crime,Action|Adventure|Crime
113,Drama|Mystery,Drama|Mystery
114,Drama,Drama
115,Comedy,Comedy
116,Documentary,Documentary
117,Crime,Crime
118,Comedy|Romance,Comedy|Romance
119,Comedy,Comedy
120,Drama,Drama
121,Drama,Drama
122,Comedy|Romance,Comedy|Romance
123,Drama|Mystery|Romance,Drama|Mystery|Romance
124,Drama,Drama
125,Comedy,Comedy
126,Adventure|Children's|Fantasy,Adventure|Children's|Fantasy
127,Drama,Drama
128,Documentary,Documentary
129,Comedy|Romance,Comedy|Romance
130,Drama,Drama
131,Drama|Romance,Drama|Romance
132,Thriller,Thriller
133,Comedy|Drama,Comedy|Drama
134,Documentary,Documentary
135,Comedy,Comedy
136,Documentary,Documentary
137,Documentary,Documentary
138,Drama,Drama
139,Action|Drama,Action|Drama
140,Drama|Romance,Drama|Romance
141,Comedy,Comedy
142,Drama,Drama
143,Drama,Drama
144,Comedy,Comedy
145,Action,Action
146,Adventure|Children's,Adventure|Children's
147,Drama,Drama
148,Drama,Drama
149,Crime|Drama|Thriller,Crime|Drama|Thriller
150,Drama,Drama
151,Drama|Romance|War,Drama|Romance|War
152,Horror,Horror
153,Action|Adventure|Comedy|Crime,Action|Adventure|Comedy|Crime
154,Drama,Drama
155,Drama|War,Drama|War
156,Comedy,Comedy
157,Comedy|War,Comedy|War
158,Adventure|Children's,Adventure|Children's
159,Drama,Drama
160,Action|Adventure|Mystery|Sci-Fi,Action|Adventure|Mystery|Sci-Fi
161,Drama|Thriller|War,Drama|Thriller|War
162,Documentary,Documentary
163,Action|Romance|Thriller,Action|Romance|Thriller
164,Crime|Film-Noir|Mystery|Thriller,Crime|Film-Noir|Mystery|Thriller
165,Action|Thriller,Action|Thriller
166,Comedy|Drama,Comedy|Drama
167,Drama,Drama
168,Action|Adventure|Drama|Romance,Action|Adventure|Drama|Romance
169,Adventure|Children's|Drama,Adventure|Children's|Drama
170,Action|Crime|Thriller,Action|Crime|Thriller
171,Comedy,Comedy
172,Action|Sci-Fi|Thriller,Action|Sci-Fi|Thriller
173,Action|Adventure|Sci-Fi,Action|Adventure|Sci-Fi
174,Comedy,Comedy
175,Drama,Drama
176,Comedy,Comedy
177,Horror,Horror
178,Comedy,Comedy
179,Drama|Romance,Drama|Romance
180,Comedy,Comedy
181,Action|Children's,Action|Children's
182,Drama|Romance,Drama|Romance
183,Thriller,Thriller
184,Drama,Drama
185,Sci-Fi|Thriller,Sci-Fi|Thriller
186,Comedy,Comedy
187,Comedy,Comedy
188,Horror,Horror
189,Comedy,Comedy
190,Thriller,Thriller
191,Drama,Drama
192,Documentary,Documentary
193,Drama,Drama
194,Drama,Drama
195,Comedy|Drama|Romance,Comedy|Drama|Romance
196,Horror|Sci-Fi,Horror|Sci-Fi
197,Drama,Drama
198,Action|Crime|Sci-Fi,Action|Crime|Sci-Fi
199,Drama|Musical,Drama|Musical
200,Thriller,Thriller
201,Drama,Drama
202,Drama|Romance,Drama|Romance
203,Comedy,Comedy
204,Action,Action
205,Comedy|Drama,Comedy|Drama
206,Documentary,Documentary
207,Drama|Romance,Drama|Romance
208,Action|Adventure,Action|Adventure
209,Drama,Drama
210,Western,Western
211,Drama,Drama
212,Comedy,Comedy
213,Drama,Drama
214,Drama,Drama
215,Drama|Romance,Drama|Romance
216,Comedy,Comedy
217,Drama|Thriller,Drama|Thriller
218,Comedy|Drama,Comedy|Drama
219,Drama,Drama
220,Horror,Horror
222,Drama|Romance,Drama|Romance
223,Comedy,Comedy
224,Comedy|Drama|Romance,Comedy|Drama|Romance
225,Drama|Thriller,Drama|Thriller
226,Thriller,Thriller
227,Action,Action
228,Comedy,Comedy
229,Drama|Thriller,Drama|Thriller
230,Drama|Thriller,Drama|Thriller
231,Comedy,Comedy
232,Comedy|Drama,Comedy|Drama
233,Drama,Drama
234,Comedy,Comedy
235,Comedy|Drama,Comedy|Drama
236,Comedy|Romance,Comedy|Romance
237,Comedy|Romance,Comedy|Romance
238,Adventure|Children's,Adventure|Children's
239,Animation|Children's|Comedy|Romance,Animation|Children's|Comedy|Romance
240,Thriller,Thriller
241,Children's|Drama,Children's|Drama
242,Drama|Musical,Drama|Musical
243,Comedy,Comedy
244,Animation|Children's,Animation|Children's
245,Crime|Drama,Crime|Drama
246,Documentary,Documentary
247,Drama|Fantasy|Romance|Thriller,Drama|Fantasy|Romance|Thriller
248,Comedy,Comedy
249,Drama|Romance,Drama|Romance
250,Children's|Comedy,Children's|Comedy
251,Action,Action
252,Comedy|Romance,Comedy|Romance
253,Drama|Horror,Drama|Horror
254,Drama,Drama
255,Comedy,Comedy
256,Comedy|Sci-Fi,Comedy|Sci-Fi
257,Mystery|Thriller,Mystery|Thriller
258,Adventure|Children's|Comedy|Fantasy|Romance,Adventure|Children's|Comedy|Fantasy|Romance
