EXPERIMENT 2 — MULTI-OBJECTIVE WEIGHTED SCALARIZATION (IDUN)
Users: 50  |  Alpha values: [0.0, 0.15, 0.25, 0.3, 0.35, 0.4, 0.5, 0.65, 0.75, 0.85, 1.0]
Serendipity metric: harmonic mean of U=distance and R=(cf_score-1)/4

 alpha  serendipity  avg_distance  avg_cf_score  diversity_ild  n_users
0.0000       0.8947        0.8788        4.6644         0.7998       50
0.1500       0.9078        0.9055        4.6572         0.7831       50
0.2500       0.9130        0.9193        4.6436         0.7656       50
0.3000       0.9148        0.9258        4.6338         0.7681       50
0.3500       0.9172        0.9361        4.6138         0.7591       50
0.4000       0.9185        0.9448        4.5927         0.7495       50
0.5000       0.9188        0.9632        4.5319         0.6841       50
0.6500       0.9128        0.9819        4.4319         0.4434       50
0.7500       0.9095        0.9849        4.4030         0.3907       50
0.8500       0.9065        0.9865        4.3786         0.3694       50
1.0000       0.7814        0.9869        3.6289         0.3466       50

Best serendipity: α=0.50 → 0.9188
