EXPERIMENT 2 — MULTI-OBJECTIVE WEIGHTED SCALARIZATION (IDUN)
Users: 50  |  Alpha values: [0.0, 0.15, 0.25, 0.3, 0.35, 0.4, 0.5, 0.65, 0.75, 0.85, 1.0]
Serendipity metric: harmonic mean of U=distance and R=(cf_score-1)/4

 alpha  serendipity  avg_distance  avg_cf_score  diversity_ild  n_users
0.0000       0.6169        0.6788        3.3617         0.6992       50
0.1500       0.6169        0.6788        3.3617         0.6992       50
0.2500       0.6169        0.6788        3.3617         0.6992       50
0.3000       0.6169        0.6788        3.3617         0.6992       50
0.3500       0.6169        0.6788        3.3617         0.6992       50
0.4000       0.6169        0.6788        3.3617         0.6992       50
0.5000       0.6748        0.9176        3.2344         0.6646       50
0.6500       0.7814        0.9869        3.6289         0.3466       50
0.7500       0.7814        0.9869        3.6289         0.3466       50
0.8500       0.7814        0.9869        3.6289         0.3466       50
1.0000       0.7814        0.9869        3.6289         0.3466       50

Best serendipity: α=0.65 → 0.7814
