EXPERIMENT 2 — MULTI-OBJECTIVE WEIGHTED SCALARIZATION (IDUN)
Users: 50  |  Alpha values: [0.0, 0.15, 0.25, 0.3, 0.35, 0.4, 0.5, 0.65, 0.75, 0.85, 1.0]
Serendipity metric: harmonic mean of U=distance and R=(cf_score-1)/4

 alpha  serendipity  avg_distance  avg_cf_score  diversity_ild  n_users
0.0000       0.9611        0.9262        5.0000         0.7587       50
0.1500       0.9702        0.9425        4.9998         0.7561       50
0.2500       0.9703        0.9428        4.9995         0.7492       50
0.3000       0.9707        0.9439        4.9979         0.7434       50
0.3500       0.9708        0.9441        4.9974         0.7465       50
0.4000       0.9709        0.9446        4.9963         0.7560       50
0.5000       0.9711        0.9472        4.9876         0.7552       50
0.6500       0.9675        0.9613        4.9053         0.6875       50
0.7500       0.9529        0.9803        4.7249         0.4012       50
0.8500       0.9443        0.9855        4.6460         0.3579       50
1.0000       0.7624        0.9869        3.5659         0.3466       50

Best serendipity: α=0.50 → 0.9711
