EXPERIMENT 2 — MULTI-OBJECTIVE WEIGHTED SCALARIZATION (IDUN)
Users: 50  |  Alpha values: [0.0, 0.15, 0.25, 0.3, 0.35, 0.4, 0.5, 0.65, 0.75, 0.85, 1.0]
Serendipity metric: harmonic mean of U=distance and R=(cf_score-1)/4

 alpha  serendipity  avg_distance  avg_cf_score  diversity_ild  n_users
0.0000       0.3369        0.2174        4.6644         0.7998       50
0.1500       0.4442        0.3157        4.6278         0.7989       50
0.2500       0.6271        0.5757        4.3316         0.7833       50
0.3000       0.7437        0.8412        3.9345         0.7441       50
0.3500       0.7760        0.9491        3.7276         0.6830       50
0.4000       0.7834        0.9830        3.6489         0.6763       50
0.5000       0.7845        0.9965        3.6072         0.6497       50
0.6500       0.7839        1.0000        3.5916         0.6522       50
0.7500       0.7839        1.0000        3.5916         0.6905       50
0.8500       0.7839        1.0000        3.5916         0.6704       50
1.0000       0.7830        1.0000        3.5873         0.6989       50

Best serendipity: α=0.50 → 0.7845
