user_id,personalized_alpha,personalized_serendipity,global_serendipity,improvement,flat_landscape
641420938,0.3745,1.0000,1.0000,0.0000,False
365241025,0.6091,1.0000,1.0000,0.0000,False
341764571,0.8348,1.0000,1.0000,0.0000,False
970127825,0.5495,1.0000,1.0000,0.0000,False
239403701,0.7838,1.0000,1.0000,0.0000,False
309251482,0.7287,1.0000,1.0000,0.0000,False
419480369,0.2849,1.0000,1.0000,0.0000,False
432768442,0.3010,1.0000,1.0000,0.0000,False
105163937,0.4946,1.0000,1.0000,0.0000,False
72893991,0.6757,1.0000,1.0000,0.0000,False
908794004,0.6184,1.0000,1.0000,0.0000,False
313572852,0.8467,1.0000,1.0000,0.0000,False
271660982,0.4202,1.0000,1.0000,0.0000,False
497788980,0.4839,1.0000,1.0000,0.0000,False
607271750,0.3334,1.0000,1.0000,0.0000,False
659393420,0.2305,1.0000,1.0000,0.0000,False
389601553,0.3651,1.0000,1.0000,0.0000,False
210590055,0.1579,1.0000,1.0000,0.0000,False
581692196,0.3009,1.0000,1.0000,0.0000,False
222187389,0.8245,1.0000,1.0000,0.0000,False
748601784,0.4891,1.0000,1.0000,0.0000,False
358492814,0.5539,1.0000,1.0000,0.0000,False
429833975,0.3791,1.0000,1.0000,0.0000,False
776719022,0.2871,1.0000,1.0000,0.0000,False
502428973,0.1543,1.0000,1.0000,0.0000,False
888823867,0.5459,1.0000,1.0000,0.0000,False
527870685,0.2594,1.0000,1.0000,0.0000,False
143438063,0.2962,1.0000,1.0000,0.0000,False
681335219,0.5846,1.0000,1.0000,0.0000,False
309135572,0.1856,1.0000,1.0000,0.0000,False
14150802,0.6843,1.0000,1.0000,0.0000,False
246527335,0.6427,1.0000,1.0000,0.0000,False
87415992,0.2022,1.0000,1.0000,0.0000,False
475958681,0.5689,1.0000,1.0000,0.0000,False
378692110,0.3108,1.0000,1.0000,0.0000,False
29472843,0.6422,1.0000,1.0000,0.0000,False
408357354,0.6810,1.0000,1.0000,0.0000,False
555750036,0.5007,1.0000,1.0000,0.0000,False
601065986,0.5219,1.0000,1.0000,0.0000,False
742804406,0.3554,1.0000,1.0000,0.0000,False
280917619,0.2752,1.0000,1.0000,0.0000,False
544765961,0.2570,1.0000,1.0000,0.0000,False
718923231,0.3702,1.0000,1.0000,0.0000,False
222386120,0.6204,1.0000,1.0000,0.0000,False
201028888,0.2026,1.0000,1.0000,0.0000,False
965351800,0.6563,1.0000,1.0000,0.0000,False
942733355,0.6476,1.0000,1.0000,0.0000,False
168465297,0.4997,1.0000,1.0000,0.0000,False
304287102,0.2677,1.0000,1.0000,0.0000,False
716707783,0.2010,1.0000,1.0000,0.0000,False
380075111,0.8859,1.0000,1.0000,0.0000,False
7273808,0.6064,1.0000,1.0000,0.0000,False
885516803,0.7194,1.0000,1.0000,0.0000,False
268783124,0.2288,1.0000,1.0000,0.0000,False
723201399,0.2147,1.0000,1.0000,0.0000,False
263357356,0.8369,1.0000,1.0000,0.0000,False
424528366,0.7323,1.0000,1.0000,0.0000,False
829260276,0.6723,1.0000,1.0000,0.0000,False
274041256,0.5434,1.0000,1.0000,0.0000,False
764102261,0.5164,1.0000,1.0000,0.0000,False
191502831,0.5977,1.0000,1.0000,0.0000,False
195885466,0.4321,1.0000,1.0000,0.0000,False
459299105,0.2283,1.0000,1.0000,0.0000,False
833215994,0.0837,1.0000,1.0000,0.0000,False
781705204,0.0086,1.0000,1.0000,0.0000,False
169085487,0.1627,1.0000,1.0000,0.0000,False
52874916,0.2336,1.0000,1.0000,0.0000,False
302119872,0.6115,1.0000,1.0000,0.0000,False
214216293,0.6585,1.0000,1.0000,0.0000,False
340802058,0.6122,1.0000,1.0000,0.0000,False
759946024,0.3751,1.0000,1.0000,0.0000,False
63968084,0.4365,1.0000,1.0000,0.0000,False
203786985,0.4884,1.0000,1.0000,0.0000,False
92739458,0.1961,1.0000,1.0000,0.0000,False
701369580,0.3752,1.0000,1.0000,0.0000,False
729708859,0.4514,1.0000,1.0000,0.0000,False
679562858,0.5791,1.0000,1.0000,0.0000,False
643848323,0.8478,1.0000,1.0000,0.0000,False
40759584,0.6780,1.0000,1.0000,0.0000,False
653949281,0.2108,1.0000,1.0000,0.0000,False
371786427,0.1570,1.0000,1.0000,0.0000,False
125765975,0.6965,1.0000,1.0000,0.0000,False
909502863,0.7455,1.0000,1.0000,0.0000,False
425721899,0.5067,1.0000,1.0000,0.0000,False
32596532,0.7477,1.0000,1.0000,0.0000,False
378813887,0.5238,1.0000,1.0000,0.0000,False
323088563,0.2631,1.0000,1.0000,0.0000,False
916696736,0.5705,1.0000,1.0000,0.0000,False
954460891,0.3115,1.0000,1.0000,0.0000,False
483833703,0.6502,1.0000,1.0000,0.0000,False
647439791,0.7809,1.0000,1.0000,0.0000,False
271640678,0.4195,1.0000,1.0000,0.0000,False
778215876,0.8114,1.0000,1.0000,0.0000,False
332479998,0.6613,1.0000,1.0000,0.0000,False
223609517,0.1532,1.0000,1.0000,0.0000,False
762234327,0.6954,1.0000,1.0000,0.0000,False
243264955,0.3240,1.0000,1.0000,0.0000,False
388672828,0.4910,1.0000,1.0000,0.0000,False
275112581,0.7479,1.0000,1.0000,0.0000,False
641168127,0.5224,1.0000,1.0000,0.0000,False
