Thresholds,Description,α=0.0,α=0.25,α=0.5,α=0.75,α=1.0,Winner
"(0.5, 2.5)","Low distance, high CF",0.21400000000000002,0.2,0.161,0.133,0.001,α=0.0
"(0.6, 2.0)",Medium-low,0.6929999999999998,0.8460000000000001,0.7610000000000001,0.7060000000000001,0.08200000000000002,α=0.25
"(0.7, 1.8)",Original (Ge et al.),0.645,0.985,0.963,0.9469999999999998,0.20400000000000001,α=0.25
"(0.8, 1.5)","High distance, low CF",0.529,0.9880000000000001,1.0,1.0,0.591,α=0.5
"(0.9, 1.2)",Extremely high distance,0.361,0.879,0.9969999999999999,1.0,0.9380000000000002,α=0.75
"(0.65, 1.9)",Slightly stricter than Ge et al.,0.699,0.9569999999999999,0.895,0.8580000000000001,0.11900000000000001,α=0.25
"(0.68, 1.85)",Very close to Ge et al.,0.682,0.9760000000000001,0.934,0.9059999999999999,0.15000000000000002,α=0.25
"(0.72, 1.75)",Slightly different,0.628,0.995,0.9869999999999999,0.975,0.24100000000000005,α=0.25
"(0.75, 1.7)",Slightly more lenient than Ge et al.,0.5720000000000001,0.9930000000000001,0.991,0.985,0.30700000000000005,α=0.25
"(0.7, 1.6)","Same distance, lower CF",0.645,0.998,1.0,1.0,0.45399999999999996,α=0.5
"(0.7, 2.0)","Same distance, higher CF",0.6100000000000001,0.8440000000000001,0.7610000000000001,0.7060000000000001,0.08200000000000002,α=0.25
