Terskler,Beskrivelse,α=0.0,α=0.25,α=0.5,α=0.75,α=1.0,Vinner
"(0.5, 2.5)","Lav distance, høy CF",0.032,0.022,0.009,0.008,0.0,α=0.0
"(0.6, 2.0)",Medium-lav,0.43200000000000005,0.3940000000000001,0.345,0.34299999999999997,0.079,α=0.0
"(0.7, 1.8)",Original (Ge et al.),0.6000000000000001,0.638,0.562,0.561,0.252,α=0.25
"(0.8, 1.5)","Høy distance, lav CF",0.44499999999999995,0.9030000000000001,0.9330000000000002,0.9330000000000002,0.589,α=0.5
"(0.9, 1.2)",Ekstremt høy distance,0.253,0.8290000000000002,0.998,1.0,0.9730000000000001,α=0.75
"(0.65, 1.9)",Litt strengere enn Ge et al.,0.543,0.517,0.447,0.446,0.16,α=0.0
"(0.7, 1.8)",Original (Ge et al.),0.6000000000000001,0.638,0.562,0.561,0.252,α=0.25
"(0.75, 1.7)",Litt mildere enn Ge et al.,0.529,0.7559999999999999,0.691,0.69,0.353,α=0.25
"(0.7, 1.6)","Samme distance, lavere CF",0.7709999999999999,0.88,0.8229999999999998,0.8229999999999998,0.46099999999999997,α=0.25
"(0.7, 2.0)","Samme distance, høyere CF",0.38800000000000007,0.39,0.345,0.34299999999999997,0.079,α=0.25
